"","Sample_Name","Al","Si","P","S","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Ta","Hg","Pb","Th","U","LE","BD","Skeleton","pH","SOC"
"31","BR3-18",2.9169,16.34,0.3859,0.0738,1.1031,0.4236,0.426,0.0102,NA,0.0412,4.5163,NA,NA,0.0049,0.0021,0.0063,0.0092,0.0025,0.0457,0.0016,8e-04,NA,0.0043,NA,0.001,0.0015,NA,73.69,1.546342478,38.682,4.24,1.454
"32","BR4-01",3.3429,14.61,0.383,0.0504,1.2816,0.5476,0.4438,0.0236,NA,0.0412,6.0439,NA,NA,0.0061,0.0028,0.0073,0.0121,0.0027,0.0389,0.0015,7e-04,NA,0.006,NA,0.0014,0.0027,5e-04,73.15,1.290190265,27.107,4.59,2.291
"33","BR4-07",3.4748,13.85,0.4008,0.0862,1.3535,0.4711,0.4724,0.0186,NA,0.0366,6.8496,NA,0.0014,0.0072,0.0028,0.0079,0.0133,0.0027,0.0361,0.002,9e-04,0.0034,0.0051,NA,0.0019,0.0022,NA,72.9,0.721153982,46.212,4.52,5.869
"34","BR4-09",3.2263,14.81,0.3593,0.0562,1.3139,0.4666,0.4512,0.0109,0.0041,0.0454,5.9164,NA,NA,0.0063,0.0022,0.0073,0.0114,0.0026,0.0345,0.0017,0.0011,NA,0.0047,NA,0.0017,0.0024,NA,73.27,1.395445133,35.679,4.37,2.154
"35","BR4-16",2.9514,15.19,0.3968,0.1259,1.0039,0.5042,0.4497,0.0185,NA,0.0405,5.2247,NA,NA,0.0057,0.0024,0.0057,0.0112,0.0025,0.0437,0.0016,7e-04,NA,0.0043,NA,0.0012,0.0022,NA,74.01,1.640149558,40.113,4.47,1.821
"36","BR4-17",3.2408,14.48,0.3548,0.0496,1.3021,0.4936,0.4483,0.0119,NA,0.0472,5.7338,0.0015,NA,0.007,0.0022,0.0077,0.0114,0.0025,0.0365,0.0018,9e-04,NA,0.0051,NA,0.0015,0.0026,NA,73.76,1.370574336,40.717,4.62,2.008
"37","GB1-04",3.1498,17.74,0.382,0.0216,2.458,2.0258,0.3505,0.0235,NA,0.0477,2.8065,0.0021,NA,0.0068,0.0011,0.0098,0.007,0.0038,0.0279,0.0014,7e-04,NA,0.0042,NA,0.0021,0.0025,NA,70.93,2.041,15.712,8.9,0.677
"38","GB1-06",3.3944,17.75,0.3717,NA,2.7854,1.2055,0.3195,0.0162,NA,0.0523,3.3123,0.0026,NA,0.0105,0.0016,0.0118,0.0056,0.0029,0.0209,0.0012,7e-04,NA,0.0053,NA,0.0031,0.0027,NA,70.72,1.639,22.923,8.42,0.617
"39","GB1-08",3.1243,18.39,0.3489,NA,2.6223,0.5943,0.3024,0.021,NA,0.0433,2.5383,0.0015,NA,0.0061,9e-04,0.0097,0.0049,0.0033,0.0195,0.0012,6e-04,NA,0.0041,NA,0.0024,0.0027,NA,71.96,1.73,12.216,8.52,0.562
"40","GB1-10",3.0468,18.51,0.3588,NA,2.4995,0.4985,0.2946,0.0198,NA,0.0406,2.68,0.0014,NA,0.0062,7e-04,0.0097,0.0047,0.0029,0.0187,0.0011,8e-04,NA,0.0049,NA,0.0017,0.0025,NA,72,1.688,18.772,8.2,0.465
"41","GB1-12",2.8553,17.43,0.3442,0.0258,2.2924,0.9141,0.3858,0.0194,NA,0.051,2.847,0.0019,0.0013,0.0071,0.001,0.0091,0.0057,0.0032,0.033,0.0016,8e-04,NA,0.0033,NA,0.0024,0.0021,6e-04,72.76,1.612,19.16,8.53,0.484
"42","GB2-05",3.5451,15.97,0.3363,NA,2.9842,2.6448,0.351,0.0305,0.0047,0.0564,3.2377,0.0019,NA,0.0083,0.0015,0.0127,0.0067,0.0038,0.0195,0.0014,8e-04,NA,0.0056,5e-04,0.0026,0.0024,5e-04,70.77,1.454,18.759,8.62,0.574
"43","GB2-06",3.782,16.65,0.3339,NA,3.4579,0.5797,0.3277,0.0205,NA,0.0543,3.2042,0.0024,NA,0.0098,0.0013,0.0141,0.004,0.0038,0.0264,0.0016,8e-04,0.0037,0.0058,NA,0.0028,0.0037,7e-04,71.51,1.674,21.607,8.71,0.261
"44","GB2-08",2.9907,17.72,0.3309,NA,2.5219,1.7306,0.2458,0.0137,NA,0.0388,2.4409,0.0017,NA,0.007,8e-04,0.0096,0.006,0.0029,0.0158,0.0011,8e-04,NA,0.0041,NA,0.0019,0.0025,NA,71.92,1.612,9.891,8.81,0.327
"45","GB2-10",3.0669,17.68,0.3409,NA,2.8188,0.386,0.27,0.0195,NA,0.0443,2.6212,0.0018,NA,0.0075,0.0012,0.0104,0.005,0.0025,0.0143,0.0013,9e-04,NA,0.0044,NA,0.0022,0.0037,NA,72.7,1.819,33.925,8.21,0.377
"46","GB2-13",3.1181,18.81,0.3719,NA,2.6516,0.4538,0.2691,0.0113,NA,0.04,2.2983,0.0013,NA,0.0058,9e-04,0.0092,0.0047,0.0025,0.0153,0.0011,7e-04,NA,0.0044,NA,0.0018,0.0022,NA,71.93,1.538,6.514,8.49,0.35
"47","GB3-04",3.0886,15.97,0.3185,NA,2.6731,0.9562,0.3959,0.0233,0.0053,0.0504,3.1595,0.0023,NA,0.0078,0.0012,0.0115,0.0049,0.0039,0.0271,0.0018,0.0011,NA,0.0051,NA,0.0024,0.0028,6e-04,73.29,1.566,0,8.67,0.712
